product_id;group_id;product_name;product_price
1847;17;Ativa-D5772-2-Line-5.8GHz-Digital-Expandable-Corded-Cordless-Phone-System-with-Answering-&-Caller-ID-Call-Waiting-Black-Silver;164.99
1759;17;I-Needs-3d-Hello-Kitty-Hybrid-Silicone-Case-Cover-for-HTC-One-X-4g-with-3d-Hello-Kitty-Stylus-Pen-Green-pink;11.96
1829;17;Panasonic-KX-TG9541B-DECT-6.0-Digital-2-Line-Expandable-Cordless-Phone-With-Digital-Answering-System;149.99
1745;17;iKross-Bluetooth-Portable-Keyboard-+-Cell-Phone-Stand-Holder-+-Brush-for-Apple-iPhone-5S-5C-5-4S-4;20.95
413;5;Holmes-Cool-Mist-Humidifier-for-the-Whole-House-with-8-Gallon-Output-per-Day-Extended-Life-Filter;19.9
1857;17;LF-Elite-3D-Dazzle-Designer-Hard-Case-Cover-Lf-Stylus-Pen-and-Wiper-For-Apple-Iphone-5c-Mini-Lite;10.9
968;10;Avery-05222-Permanent-Self-Adhesive-File-Folder-Labels-for-Typewriters-on-Rolls-White-250-Roll;4.13
1058;11;White-Dual-Perf-Computer-Printout-Paper-2700-Sheets-1-Part-Heavyweight-20-lbs.-14-7-8-x-11;55.48
1853;17;KLD-Oscar-II-Style-Snap-on-Ultra-Thin-Side-Flip-Synthetic-Leather-Cover-Case-for-HTC-One-HTC-M7;9.72
477;5;Holmes-Visible-Mist-Ultrasonic-Humidifier-with-2.3-Gallon-Output-per-Day-Replacement-Filter;11.32
1151;11;Adams-Telephone-Message-Book-W-Dividers-Space-For-Phone-Numbers-5-1-4X8-1-2-300-Messages;5.88
1189;11;Adams-Telephone-Message-Book-W-Dividers-Space-For-Phone-Numbers-5-1-4X8-1-2-200-Messages;48.94
79;2;Office-Star---Professional-Matrix-Back-Chair-with-2-to-1-Synchro-Tilt-and-Mesh-Fabric-Seat;350.98
137;2;Office-Star---Mid-Back-Dual-function-Ergonomic-High-Back-Chair-with-2-Way-Adjustable-Arms;144.88
1129;11;1-4-Fold-Party-Design-Invitations-&-White-Envelopes-24-8-1-2-X-11-Cards-25-Env.-Pack;7.35
288;3;Tenex-Contemporary-Contur-Chairmats-for-Low-and-Medium-Pile-Carpet-Computer-39-x-49;107.53
1304;11;Rediform-S.O.S.-1-Up-Phone-Message-Bk-4-1-4x3-1-16-Bk-1-Form-Pg-40-Messages-Bk-3-Pk;9.38
392;5;Sanyo-Counter-Height-Refrigerator-with-Crisper-3.6-Cubic-Foot-Stainless-Steel-Black;328.14
451;5;Fellowes-8-Outlet-Superior-Workstation-Surge-Protector-w-o-Phone-Fax-Modem-Protection;33.62
1271;11;Adams-Telephone-Message-Book-w-Frequently-Called-Numbers-Space-400-Messages-per-Book;7.98
223;3;Rubbermaid-ClusterMat-Chairmats-Mat-Size--66-x-60-Lip-20-x-11--90-Degree-Angle;110.98
1672;16;Hewlett-Packard-Deskjet-F4180-All-in-One-Color-Ink-jet---Printer---copier---scanner;51
1677;16;Canon-Color-ImageCLASS-MF8580Cdw-Wireless-Laser-All-In-One-Printer-Copier-Scanner;335.99
421;5;Commercial-WindTunnel-Clean-Air-Upright-Vacuum-Replacement-Belts-Filtration-Bags;3.89
473;5;Conquest-14-Commercial-Heavy-Duty-Upright-Vacuum-Collection-System-Accessory-Kit;56.96
870;8;White-Business-Envelopes-with-Contemporary-Seam-Recycled-White-Business-Envelopes;10.94
1270;11;Eaton-Premium-Continuous-Feed-Paper-25%-Cotton-Letter-Size-White-1000-Shts-Box;55.48
75;2;Office-Star---Contemporary-Swivel-Chair-with-Padded-Adjustable-Arms-and-Flex-Back;140.98
1004;10;Avery-4027-File-Folder-Labels-for-Dot-Matrix-Printers-5000-Labels-per-Box-White;30.53
1449;13;Acme-Hot-Forged-Carbon-Steel-Scissors-with-Nickel-Plated-Handles-3-7-8-Cut-8L;13.9
1474;13;Acme-Design-Line-8-Stainless-Steel-Bent-Scissors-w-Champagne-Handles-3-1-8-Cut;6.84
335;4;SAFCO-PlanMaster-Heigh-Adjustable-Drafting-Table-Base-43w-x-30d-x-30-37h-Black;349.45
469;5;Hoover-Replacement-Belts-For-Soft-Guard-&-Commercial-Ltweight-Upright-Vacs-2-Pk;3.95
996;10;Permanent-Self-Adhesive-File-Folder-Labels-for-Typewriters-1-1-8-x-3-1-2-White;6.3
1715;17;Seidio-BD2-HK3IPH5-BK-DILEX-Case-and-Holster-Combo-for-Apple-iPhone-5-5s---Black;24.81
102;2;Global-Leather-Highback-Executive-Chair-with-Pneumatic-Height-Adjustment-Black;180.88
460;5;Bravo-II-Megaboss-12-Amp-Hard-Body-Upright-Replacement-Belts-2-Belts-per-Pack;3.25
900;8;Inter-Office-Recycled-Envelopes-Brown-Kraft-Button-String10-x-13--100-Box;21.98
336;4;Lesro-Sheffield-Collection-Coffee-Table-End-Table-Center-Table-Corner-Table;71.37
84;2;Office-Star---Contemporary-Task-Swivel-chair-with-2-way-adjustable-arms-Plum;104.78
146;3;GE-General-Purpose-Extra-Long-Life-Showcase-&-Floodlight-Incandescent-Bulbs;2.91
682;7;Acco-Flexible-ACCOHIDE-Square-Ring-Data-Binder-Dark-Blue-11-1-2-X-14-7-8;16.27
1312;12;Recycled-Data-Pak-for-Archival-Bound-Computer-Printouts-12-1-2-x-12-1-2-x-16;98.79
373;4;Riverside-Furniture-Oval-Coffee-Table-Oval-End-Table-End-Table-with-Drawer;286.85
431;5;Holmes-Replacement-Filter-for-HEPA-Air-Cleaner-Very-Large-Room-HEPA-Filter;68.81
440;5;Fellowes-Premier-Superior-Surge-Suppressor-10-Outlet-With-Phone-and-Remote;48.92
620;6;Binney-&-Smith-inkTank-Erasable-Desk-Highlighter-Chisel-Tip-Yellow-12-Box;2.52
1057;11;Message-Book-Standard-Line-While-You-Were-Out-5-1-2-X-4-200-Sets-Book;8.56
1175;11;RSVP-Cards-&-Envelopes-Blank-White-8-1-2-X-11-24-Cards-25-Envelopes-Set;6.48
42;1;Bush-Heritage-Pine-Collection-5-Shelf-Bookcase-Albany-Pine-Finish-Special;119.83
45;1;Safco-Value-Mate-Series-Steel-Bookcases-Baked-Enamel-Finish-on-Steel-Gray;70.98
217;3;Tenex-Carpeted-Granite-Look-or-Clear-Contemporary-Contour-Shape-Chair-Mats;70.71
271;3;Tenex-Traditional-Chairmats-for-Medium-Pile-Carpet-Standard-Lip-36-x-48;60.65
461;5;Kensington-7-Outlet-MasterPiece-Power-Center-with-Fax-Phone-Line-Protection;207.48
788;7;Fellowes-PB500-Electric-Punch-Plastic-Comb-Binding-Machine-with-Manual-Bind;1270.99
1132;11;Ampad-Poly-Cover-Wirebound-Steno-Book-6-x-9-Assorted-Colors-Gregg-Ruled;4.54
1143;11;Wirebound-Message-Books-Four-2-3-4-x-5-Forms-per-Page-600-Sets-per-Book;9.27
151;3;Deflect-o-DuraMat-Antistatic-Studded-Beveled-Mat-for-Medium-Pile-Carpeting;105.34
323;3;C-Line-Cubicle-Keepers-Polyproplyene-Holder-w-Velcro-Back-8-1-2x11-25-Bx;54.74
448;5;Hoover-Replacement-Belt-for-Commercial-Guardsman-Heavy-Duty-Upright-Vacuum;2.22
481;5;Hoover-Commercial-Soft-Guard-Upright-Vacuum-And-Disposable-Filtration-Bags;7.77
1080;11;Adams-Phone-Message-Book-Professional-400-Message-Capacity-5-3-6”-x-11”;17.52
1350;12;Office-Impressions-Heavy-Duty-Welded-Shelving-&-Multimedia-Storage-Drawers;167.27
285;3;DAX-Executive-Solid-Wood-Document-Frame-Desktop-or-Hang-Mahogany-5-x-7;12.58
287;3;Deflect-o-DuraMat-Lighweight-Studded-Beveled-Mat-for-Low-Pile-Carpeting;42.65
407;5;Belkin-8-Outlet-SurgeMaster-II-Gold-Surge-Protector-with-Phone-Protection;80.98
433;5;Acco-Smartsocket-Color-Coded-Six-Outlet-AC-Adapter-Model-Surge-Protectors;44.01
443;5;Acco-7-Outlet-Masterpiece-Power-Center-Wihtout-Fax-Phone-Line-Protection;121.58
633;6;Boston-1827-Commercial-Additional-Cutter-Drive-Gear-&-Gear-Rack-for-1606;19.83
1090;11;Wirebound-Message-Books-Four-2-3-4-x-5-Forms-per-Page-200-Sets-per-Book;4.77
1098;11;Snap-A-Way-Black-Print-Carbonless-Speed-Message-No-Reply-Area-Duplicate;23.31
1770;17;RCA-H5401RE1-DECT-6.0-4-Line-Cordless-Handset-With-Caller-ID-Call-Waiting;619.99
1793;17;Anker-36W-4-Port-USB-Wall-Charger-Travel-Power-Adapter-for-iPhone-5s-5c-5;19.99
9;1;Bush-Westfield-Collection-Bookcases-Dark-Cherry-Finish-Fully-Assembled;30.29
202;3;Eldon-Expressions-Punched-Metal-&-Wood-Desk-Accessories-Pewter-&-Cherry;10.64
240;3;DAX-Contemporary-Wood-Frame-with-Silver-Metal-Mat-Desktop-11-x-14-Size;20.24
424;5;Black-&-Decker-Filter-for-Double-Action-Dustbuster-Cordless-Vac-BLDV7210;8.39
1040;11;Message-Book-Wirebound-Four-5-1-2-X-4-Forms-Pg.-200-Dupl.-Sets-Book;10.28
1081;11;TOPS-Carbonless-Receipt-Book-Four-2-3-4-x-7-1-4-Money-Receipts-per-Page;17.52
1410;12;Advantus-10-Drawer-Portable-Organizer-Chrome-Metal-Frame-Smoke-Drawers;59.76
1416;12;Tennsco-Snap-Together-Open-Shelving-Units-Starter-Sets-and-Add-On-Units;279.48
153;3;Tenex-V2T-RE-Standard-Weight-Series-Chair-Mat-45-x-53-Lip-25-x-12;70.98
279;3;Eldon-Expressions-Punched-Metal-&-Wood-Desk-Accessories-Black-&-Cherry;9.38
466;5;Sanitaire-Vibra-Groomer-IR-Commercial-Upright-Vacuum-Replacement-Belts;2.6
706;7;Acco-Pressboard-Covers-with-Storage-Hooks-14-7-8-x-11-Executive-Red;3.81
773;7;Premium-Transparent-Presentation-Covers-No-Pattern-Clear-8-1-2-x-11;38.78
971;10;Permanent-Self-Adhesive-File-Folder-Labels-for-Typewriters-by-Universal;2.61
1092;11;TOPS-Important-Message-Pads-Canary-4-1-4-x-5-1-2-50-Sheets-per-Pad;4.28
372;4;Barricks-18-x-48-Non-Folding-Utility-Table-with-Bottom-Storage-Shelf;80.64
389;5;Honeywell-Enviracaire-Portable-HEPA-Air-Cleaner-for-up-to-10-x-16-Room;123.38
553;6;Premium-Writing-Pencils-Soft-#2-by-Central-Association-for-the-Blind;2.98
624;6;Binney-&-Smith-inkTank-Erasable-Pocket-Highlighter-Chisel-Tip-Yellow;2.28
671;7;Acco-Pressboard-Covers-with-Storage-Hooks-9-1-2-x-11-Executive-Red;3.81
677;7;Acco-PRESSTEX-Data-Binder-with-Storage-Hooks-Light-Blue-9-1-2-X-11;5.38
688;7;Acco-PRESSTEX-Data-Binder-with-Storage-Hooks-Dark-Blue-14-7-8-X-11;5.38
908;8;Recycled-Interoffice-Envelopes-with-String-and-Button-Closure-10-x-13;23.99
1505;14;Anker-Ultrathin-Bluetooth-Wireless-Keyboard-Aluminum-Cover-with-Stand-;29.99
1718;17;Cush-Cases-Heavy-Duty-Rugged-Cover-Case-for-Samsung-Galaxy-S5---Purple;4.95
105;2;Office-Star---Contemporary-Task-Swivel-chair-with-Loop-Arms-Charcoal;130.98
329;4;Hon-Practical-Foundations-30-x-60-Training-Table-Light-Gray-Charcoal;227.55
437;5;Acco-Smartsocket-Table-Surge-Protector-6-Color-Coded-Adapter-Outlets;62.05
464;5;Fellowes-Advanced-8-Outlet-Surge-Suppressor-with-Phone-Fax-Protection;27.76
530;6;Sanford-Prismacolor-Professional-Thick-Lead-Art-Pencils-36-Color-Set;29.95
694;7;Acco-PRESSTEX-Data-Binder-with-Storage-Hooks-Dark-Blue-9-1-2-X-11;5.38
712;7;Acco-Data-Flex-Cable-Posts-For-Top-&-Bottom-Load-Binders-6-Capacity;10.43
1346;12;Eldon-ProFile-File-N-Store-Portable-File-Tub-Letter-Legal-Size-Black;19.31
1515;14;Imation 32GB-Pocket-Pro-USB-3.0 Flash-Drive --32-GB---Black---1-P-...;29.95
1522;14;Logitech-G430-Surround-Sound-Gaming-Headset-with-Dolby-7.1-Technology;79.99
1675;16;Canon-imageCLASS-MF7460-Monochrome-Digital-Laser-Multifunction-Copier;1995.99
1839;17;Blue-Parrot-B250XT-Professional-Grade-Wireless-Bluetooth Headset with;59.99
38;1;Safco-Value-Mate-Steel-Bookcase-Baked-Enamel-Finish-on-Steel-Black;60.33
384;5;Tripp-Lite-Isotel-6-Outlet-Surge-Protector-with-Fax-Modem-Protection;60.97
420;5;Hoover-Commercial-Lightweight-Upright-Vacuum-with-E-Z-Empty-Dirt-Cup;232.58
655;7;Wilson-Jones-Clip-&-Carry-Folder-Binder-Tool-for-Ring-Binders-Clear;5.8
800;7;Acco-Pressboard-Covers-with-Storage-Hooks-14-7-8-x-11-Light-Blue;4.91
988;10;Smead-Alpha-Z-Color-Coded-Second-Alphabetical-Labels-and-Starter-Set;3.08
1060;11;REDIFORM-Incoming-Outgoing-Call-Register-11-X-8-1-2-100-Messages;8.34
1210;11;Ampad-Phone-Message-Book-Recycled-400-Message-Capacity-5-?”-x-11”;6.24
1375;12;Gould-Plastics-9-Pocket-Panel-Bin-18-3-8w-x-5-1-4d-x-20-1-2h-Black;52.99
1775;17;Lunatik-TT5L-002-Taktik-Strike-Impact-Protection-System-for-iPhone-5;48.98
1788;17;QVS-USB-Car-Charger-2-Port-2.1Amp-for-iPod-iPhone-iPad-iPad-2-iPad-3;6.95
238;3;Tenex-Traditional-Chairmats-for-Hard-Floors-Average-Lip-36-x-48;64.45
501;6;Binney-&-Smith-inkTank-Desk-Highlighter-Chisel-Tip-Yellow-12-Box;2.15
568;6;Hunt-BOSTON-Model-1606-High-Volume-Electric-Pencil-Sharpener-Beige;139.13
722;7;Acco-Pressboard-Covers-with-Storage-Hooks-14-7-8-x-11-Dark-Blue;3.05
1186;11;Universal-Ultra-Bright-White-Copier-Laser-Paper-8-1-2-x-11-Ream;5.18
1192;11;Xerox-4200-Series-MultiUse-Premium-Copy-Paper-(20Lb.-and-84-Bright);5.28
1220;11;Standard-Line-“While-You-Were-Out”-Hardbound-Telephone-Message-Book;21.98
1289;11;Adams-Write-n-Stick-Phone-Message-Book-11-X-5-1-4-200-Messages;5.68
1386;12;Safco-Wire-Cube-Shelving-System-For-Use-as-4-or-5-14-Cubes-Black;31.78
1849;17;Sannysis-Cute-Owl-Design-Soft-Skin-Case-Cover-for-Samsung-Galaxy-S4;1.98
18;1;Bush-Saratoga-Collection-5-Shelf-Bookcase-Hanover-Cherry-Special;119.83
161;3;Luxo-Professional-Fluorescent-Magnifier-Lamp-with-Clamp-Mount-Base;209.84
212;3;Executive-Impressions-14-Contract-Wall-Clock-with-Quartz-Movement;17.78
245;3;GE-48-Fluorescent-Tube-Cool-White-Energy-Saver-34-Watts-30-Box;99.23
449;5;Honeywell-Enviracaire-Portable-HEPA-Air-Cleaner-for-17-x-22-Room;300.65
452;5;Honeywell-Enviracaire-Portable-HEPA-Air-Cleaner-for-16-x-20-Room;275.37
593;6;Avery-Hi-Liter-EverBold-Pen-Style-Fluorescent-Highlighters-4-Pack;8.14
770;7;Newell-3-Hole-Punched-Plastic-Slotted-Magazine-Holders-for-Binders;4.57
901;8;Recycled-Interoffice-Envelopes-with-Re-Use-A-Seal-Closure-10-x-13;13.66
1230;11;Wirebound-Message-Forms-Four-2-3-4-x-5-Forms-per-Page-Pink-Paper;8.17
1573;14;Plantronics-CS510---Over-the-Head-monaural-Wireless-Headset-System;329.95
62;2;Office-Star---Ergonomic-Mid-Back-Chair-with-2-Way-Adjustable-Arms;180.98
190;3;Tenex-46-x-60-Computer-Anti-Static-Chairmat-Rectangular-Shaped;105.98
195;3;Executive-Impressions-8-1-2-Career-Panel-Partition-Cubicle-Clock;10.4
267;3;Deflect-o-RollaMat-Studded-Beveled-Mat-for-Medium-Pile-Carpeting;92.23
339;4;Barricks-Non-Folding-Utility-Table-with-Steel-Legs-Laminate-Tops;68.23
361;4;Chromcraft-Bull-Nose-Wood-48-x-96-Rectangular-Conference-Tables;550.98
376;4;BoxOffice-By-Design-Rectangular-and-Half-Moon-Meeting-Room-Tables;120.31
393;5;Belkin-7-Outlet-SurgeMaster-Surge-Protector-with-Phone-Protection;31.58
699;7;Universal-Recycled-Hanging-Pressboard-Report-Binders-Letter-Size;6.17
834;7;C-Line-Peel-&-Stick-Add-On-Filing-Pockets-8-3-4-x-5-1-8-10-Pack;6.37
1298;11;Telephone-Message-Books-with-Fax-Mobile-Section-5-1-2-x-3-3-16;6.35
1329;12;SimpliFile-Personal-File-Black-Granite-15w-x-6-15-16d-x-11-1-4h;11.35
1490;14;Imation Secure Drive +-Hardware-Encrypted-USB flash-drive --16-GB;37.99
1563;14;Logitech VX-Revolution-Cordless-Laser-Mouse-for-Notebooks-(Black);179.99
29;1;Sauder-Camden-County-Collection-Libraries-Planked-Cherry-Finish;114.98
91;2;Hon-4700-Series-Mobuis-Mid-Back-Task-Chairs-with-Adjustable-Arms;355.98
189;3;Eldon-Expressions-Wood-and-Plastic-Desk-Accessories-Cherry-Wood;6.98
205;3;C-Line-Cubicle-Keepers-Polyproplyene-Holder-With-Velcro-Backings;4.73
375;4;Bretford-“Just-In-Time”-Height-Adjustable-Multi-Task-Work-Tables;417.4
428;5;Eureka-Disposable-Bags-for-Sanitaire-Vibra-Groomer-I-Upright-Vac;0.81
471;5;Honeywell-Enviracaire-Portable-Air-Cleaner-for-up-to-8-x-10-Room;69.05
723;7;Wilson-Jones-Heavy-Duty-Casebound-Ring-Binders-with-Metal-Hinges;34.64
739;7;Wilson-Jones-Elliptical-Ring-3-1-2-Capacity-Binders-800-sheets;42.8
1066;11;Snap-A-Way-Black-Print-Carbonless-Ruled-Speed-Letter-Triplicate;37.94
1082;11;Post-it-“Important-Message”-Note-Pad-Neon-Colors-50-Sheets-Pad;7.28
1202;11;Weyerhaeuser-First-Choice-Laser-Copy-Paper-(20Lb.-and-88-Bright);6.48
1268;11;Universal-Premium-White-Copier-Laser-Paper-(20Lb.-and-87-Bright);5.98
1324;12;Multi-Use-Personal-File-Cart-and-Caster-Set-Three-Stacking-Bins;34.76
1402;12;Tennsco-Stur-D-Stor-Boltless-Shelving-5-Shelves-24-Deep-Sand;135.31
1520;14;Imation USB-2.0-Swivel Flash-Drive USB flash-drive --4-GB---Pink;3.03
1626;14;Kensington-SlimBlade-Notebook-Wireless-Mouse-with-Nano-Receiver-;49.99
1667;16;HP-Officejet-Pro-8600-e-All-In-One-Printer-Copier-Scanner-Fax;119.99
165;3;Deflect-o-EconoMat-Studded-No-Bevel-Mat-for-Low-Pile-Carpeting;41.32
330;4;Chromcraft-Bull-Nose-Wood-Round-Conference-Table-Top-Wood-Base;217.85
403;5;Kensington-7-Outlet-MasterPiece-HOMEOFFICE-Power-Control-Center;131.12
415;5;Kensington-6-Outlet-MasterPiece-HOMEOFFICE-Power-Control-Center;90.24
430;5;Eureka-Sanitaire--Multi-Pro-Heavy-Duty-Upright-Disposable-Bags;4.37
482;5;3M-Replacement-Filter-for-Office-Air-Cleaner-for-20-x-33-Room;37.92
517;6;Avery-Hi-Liter-Comfort-Grip-Fluorescent-Highlighter-Yellow-Ink;2.88
1024;10;Self-Adhesive-Address-Labels-for-Typewriters-with-Dispenser-Box;2.95
1124;11;Recycled-Desk-Saver-Line-While-You-Were-Out-Book-5-1-2-X-4;8.95
1206;11;Wirebound-Message-Books-5-1-2-x-4-Forms-2-or-4-Forms-per-Page;6.69
1367;12;Perma-STOR-ALL-Hanging-File-Box-13-1-8W-x-12-1-4D-x-10-1-2H;5.98
1442;12;Tenex-Personal-Filing-Tote-With-Secure-Closure-Lid-Black-Frost;20.98
1486;14;Verbatim-25-GB-6x-Blu-ray-Single-Layer-Recordable-Disc-25-Pack;22.99
1493;14;Logitech-G500s-Laser-Gaming-Mouse-with-Adjustable-Weight-Tuning;69.99
1591;14;Verbatim-25-GB-6x-Blu-ray-Single-Layer-Recordable-Disc-10-Pack;11.59
2;1;Sauder-Camden-County-Barrister-Bookcase-Planked-Cherry-Finish;120.98
129;2;Office-Star-Flex-Back-Scooter-Chair-with-Aluminum-Finish-Frame;100.89
244;3;Eldon-ClusterMat-Chair-Mat-with-Cordless-Antistatic-Protection;90.98
317;3;Howard-Miller-13-3-4-Diameter-Brushed-Chrome-Round-Wall-Clock;51.75
664;7;Pressboard-Covers-with-Storage-Hooks-9-1-2-x-11-Light-Blue;4.91
799;7;Acco-Four-Pocket-Poly-Ring-Binder-with-Label-Holder-Smoke-1;5.96
984;10;Smead-Alpha-Z-Color-Coded-Name-Labels-First-Letter-Starter-Set;3.75
1258;11;Message-Book-Phone-Wirebound-Standard-Line-Memo-2-3-4-X-5;6.55
1387;12;Sauder-Facets-Collection-Locker-File-Cabinet-Sky-Alder-Finish;370.98
1431;12;Stur-D-Stor-Shelving-Vertical-5-Shelf:-72H-x-36W-x-18-1-2D;110.98
1564;14;Logitech Wireless-Boombox-Speaker---portable---wireless-wired;106.4
1568;14;Verbatim-25-GB-6x-Blu-ray-Single-Layer-Recordable-Disc-1-Pack;5.96
1615;14;Verbatim-25-GB-6x-Blu-ray-Single-Layer-Recordable-Disc-3-Pack;6.99
1716;17;Plantronics-Cordless Phone-Headset with-In-line-Volume---M214C;34.95
50;1;Riverside-Palais-Royal-Lawyers-Bookcase-Royale-Cherry-Finish;880.98
54;2;Global-Enterprise-Series-Seating-High-Back-Swivel-Tilt-Chairs;216.78
179;3;Advantus-Employee-of-the-Month-Certificate-Frame-11-x-13-1-2;30.93
192;3;Deflect-o-SuperTray-Unbreakable-Stackable-Tray-Letter-Black;29.18
621;6;BOSTON-Model-1800-Electric-Pencil-Sharpeners-Putty-Woodgrain;17.98
1033;11;TOPS-4-x-6-Fluorescent-Color-Memo-Sheets-500-Sheets-per-Pack;9.49
1204;11;Adams-Phone-Message-Book-200-Message-Capacity-8-1-16”-x-11”;6.88
1537;14;Logitech LS21-Speaker-System---PC-Multimedia---2.1-CH---Wired;19.99
1642;16;Hewlett-Packard-Deskjet-3050a-All-in-One-Color-Inkjet-Printer;380
47;1;OSullivan-Cherrywood-Estates-Traditional-Barrister-Bookcase;137.48
82;2;SAFCO-Optional-Arm-Kit-for-Workspace-Cribbage-Stacking-Chair;26.64
89;2;Global-Enterprise-Series-Seating-Low-Back-Swivel-Tilt-Chairs;207.18
198;3;Eldon-Expressions-Desk-Accessory-Wood-Photo-Frame-Mahogany;19.04
474;5;Kensington-4-Outlet-MasterPiece-Compact-Power-Control-Center;81.32
598;6;Boston-Electric-Pencil-Sharpener-Model-1818-Charcoal-Black;28.15
613;6;Avery-Hi-Liter-GlideStik-Fluorescent-Highlighter-Yellow-Ink;3.26
636;6;Binney-&-Smith-Crayola-Metallic-Colored-Pencils-8-Color-Set;4.63
658;7;Acco-Recycled-2-Capacity-Laser-Printer-Hanging-Data-Binders;11.56
743;7;Square-Ring-Data-Binders-Rigid-75-Pt.-Covers-11-x-14-7-8;20.64
747;7;Wilson-Jones-“Snap”-Scratch-Pad-Binder-Tool-for-Ring-Binders;5.8
759;7;Avery-Trapezoid-Ring-Binder-3-Capacity-Black-1040-sheets;32.78
1027;11;Telephone-Message-Books-with-Fax-Mobile-Section-4-1-4-x-6;3.6
1076;11;Wirebound-Message-Books-Four-2-3-4-x-5-White-Forms-per-Page;6.69
1199;11;Ampad-Gold-Fibre-Wirebound-Steno-Books-6-x-9-Gregg-Ruled;4.41
1314;12;Fellowes-Bankers-Box-Staxonsteel-Drawer-File-Stacking-System;64.98
1428;12;Letter-Legal-File-Tote-with-Clear-Snap-On-Lid-Black-Granite;16.06
1481;13;Acme-Galleria-Hot-Forged-Steel-Scissors-with-Colored-Handles;15.73
1616;14;-Imation Secure+-Hardware-Encrypted-USB-2.0 Flash-Drive;-16.00
1874;17;Dexim-XPower-Skin-Super-Thin-Power-Case-for-iPhone-5---Black;58.49
